HoursBeforeSepsis,PatientObservations,UniquePatients,HR_Mean,HR_Median,HR_MissingPct,O2Sat_Mean,O2Sat_Median,O2Sat_MissingPct,Temp_Mean,Temp_Median,Temp_MissingPct,SBP_Mean,SBP_Median,SBP_MissingPct,MAP_Mean,MAP_Median,MAP_MissingPct,DBP_Mean,DBP_Median,DBP_MissingPct,Resp_Mean,Resp_Median,Resp_MissingPct,EtCO2_Mean,EtCO2_Median,EtCO2_MissingPct,BaseExcess_Mean,BaseExcess_Median,BaseExcess_MissingPct,HCO3_Mean,HCO3_Median,HCO3_MissingPct,FiO2_Mean,FiO2_Median,FiO2_MissingPct,pH_Mean,pH_Median,pH_MissingPct,PaCO2_Mean,PaCO2_Median,PaCO2_MissingPct,SaO2_Mean,SaO2_Median,SaO2_MissingPct,AST_Mean,AST_Median,AST_MissingPct,BUN_Mean,BUN_Median,BUN_MissingPct,Alkalinephos_Mean,Alkalinephos_Median,Alkalinephos_MissingPct,Calcium_Mean,Calcium_Median,Calcium_MissingPct,Chloride_Mean,Chloride_Median,Chloride_MissingPct,Creatinine_Mean,Creatinine_Median,Creatinine_MissingPct,Bilirubin_direct_Mean,Bilirubin_direct_Median,Bilirubin_direct_MissingPct,Glucose_Mean,Glucose_Median,Glucose_MissingPct,Lactate_Mean,Lactate_Median,Lactate_MissingPct,Magnesium_Mean,Magnesium_Median,Magnesium_MissingPct,Phosphate_Mean,Phosphate_Median,Phosphate_MissingPct,Potassium_Mean,Potassium_Median,Potassium_MissingPct,Bilirubin_total_Mean,Bilirubin_total_Median,Bilirubin_total_MissingPct,TroponinI_Mean,TroponinI_Median,TroponinI_MissingPct,Hct_Mean,Hct_Median,Hct_MissingPct,Hgb_Mean,Hgb_Median,Hgb_MissingPct,PTT_Mean,PTT_Median,PTT_MissingPct,WBC_Mean,WBC_Median,WBC_MissingPct,Fibrinogen_Mean,Fibrinogen_Median,Fibrinogen_MissingPct,Platelets_Mean,Platelets_Median,Platelets_MissingPct
-24,1563,1563,88.5123372172721,87.0,6.653870761356366,97.22284512964261,98.0,8.701215611004478,37.08733727810652,37.11,67.56238003838772,124.39134472511144,121.5,13.883557261676263,81.87324702589223,80.0,8.573256557901471,62.27512776831346,61.0,24.888035828534868,19.985938641344045,19.5,12.412028150991683,33.30061349693251,33.0,89.57133717210493,-0.4658119658119658,0.0,92.51439539347409,24.129411764705882,24.0,94.5617402431222,0.5294009216589861,0.5,86.11644273832374,7.388590604026844,7.4,90.46705054382598,40.14416666666667,39.0,92.32245681381957,93.275,97.0,95.39347408829175,163.6315789473684,74.0,97.56877799104286,28.08955223880597,22.0,91.42674344209853,113.35897435897436,80.0,97.50479846449136,7.242248062015504,8.2,91.74664107485604,106.63157894736842,106.0,93.92194497760717,1.5723076923076922,1.0,92.51439539347409,4.645,3.8549999999999995,99.74408189379399,136.66608391608392,127.0,81.70185540627,2.738205128205128,2.1,95.00959692898272,2.0640625,2.0,91.81062060140755,3.5516853932584267,3.3,94.30582213691619,4.107966101694916,4.1,88.67562380038387,4.364102564102564,0.9,97.50479846449136,6.531000000000001,0.335,99.36020473448497,30.272151898734176,29.5,89.89123480486244,10.237867647058822,9.9,91.29878438899553,41.229824561403504,34.4,96.3531669865643,12.958730158730159,11.75,91.93857965451056,233.91666666666666,209.5,99.23224568138195,180.84070796460176,177.0,92.7703134996801
-23,1598,1598,88.11211512717537,87.0,6.508135168961202,97.2568870523416,98.0,9.136420525657071,37.13454388984509,37.11,63.64205256570713,124.12765173410403,122.0,13.391739674593243,81.42456832087016,80.0,7.947434292866083,62.19644351464435,61.0,25.219023779724658,19.92233357193987,20.0,12.57822277847309,32.937106918238996,33.0,90.05006257822278,-0.7859813084112149,0.0,93.30413016270339,23.7012987012987,24.0,95.18147684605756,0.5328102189781021,0.5,82.85356695869838,7.387876712328768,7.4,90.86357947434293,39.4575221238938,38.0,92.92866082603254,92.96470588235294,96.5,95.74468085106383,317.03125,35.0,97.99749687108886,33.63636363636363,27.0,91.73967459324155,91.35483870967742,82.0,98.06007509386734,6.994523809523809,8.0,92.11514392991239,106.18823529411765,106.0,94.68085106382979,1.9513274336283186,1.2,92.92866082603254,3.3000000000000003,1.2,99.7496871088861,135.41003460207614,127.0,81.91489361702128,2.628474576271186,1.75,96.30788485607009,2.1523076923076925,2.1,91.8648310387985,3.7011111111111115,3.3,94.36795994993741,4.025586592178771,3.9,88.79849812265331,3.7880000000000003,1.0,98.43554443053817,1.47,0.63,99.18648310387985,30.08689655172414,29.5,90.9261576971214,10.06375,9.9,92.49061326658324,44.977551020408164,35.3,96.93366708385481,12.992592592592594,11.25,93.2415519399249,284.25,254.0,99.49937421777221,187.93617021276594,162.0,94.11764705882352
-22,1618,1618,88.08360548661005,87.0,5.377008652657602,97.37641196013288,98.0,6.983930778739183,37.048123980424144,37.1,62.113720642768854,124.70756392045455,123.0,12.978986402966624,81.49877837116155,80.0,7.416563658838071,62.774959083469724,61.0,24.474660074165637,20.041114982578396,20.0,11.31025957972806,32.767080745341616,33.0,90.04944375772558,0.20327868852459016,0.0,92.45982694684795,23.871794871794872,23.5,95.17923362175526,0.5092708333333333,0.5,82.20024721878862,7.395165562913908,7.4,90.66749072929542,41.64453125,40.0,92.08899876390606,92.2530303030303,96.05,95.92088998763906,275.7878787878788,46.0,97.96044499381952,33.44347826086957,24.0,92.89245982694685,99.18181818181819,92.0,97.96044499381952,7.064811320754717,8.1,93.4487021013597,105.26666666666667,106.0,94.43757725587145,1.8542857142857143,1.2,93.94313967861557,0.8666666666666667,0.4,99.81458590852905,142.36481481481482,132.75,83.31273176761434,2.376388888888889,1.7,95.55006180469717,2.1063025210084034,2.1,92.64524103831891,3.846913580246914,3.3,94.99381953028431,4.081490683229813,4.0,90.04944375772558,1.7482758620689653,1.3,98.20766378244747,34.568749999999994,2.625,99.50556242274413,29.815140845070424,29.25,91.22373300370829,10.051680672268908,9.8,92.64524103831891,45.32931034482758,33.3,96.41532756489494,12.834285714285713,12.0,93.51050679851669,238.0,242.5,99.50556242274413,206.58426966292134,170.0,94.49938195302843
-21,1640,1640,88.17443365695793,88.0,5.7926829268292686,97.19762062128223,98.0,7.7439024390243905,37.10100840336134,37.1,63.71951219512195,124.29754385964912,122.0,13.109756097560975,81.79556945358789,80.0,7.378048780487805,62.6271186440678,62.0,24.45121951219512,19.93156808803301,20.0,11.341463414634147,32.97878787878788,34.0,89.9390243902439,-0.2125,0.0,92.6829268292683,22.779411764705884,24.0,95.85365853658536,0.5175686274509804,0.5,84.45121951219512,7.38686274509804,7.4,90.67073170731707,40.7008,40.0,92.3780487804878,95.45649350649352,97.0,95.30487804878048,267.0,82.0,98.53658536585365,30.725490196078432,23.0,93.78048780487805,125.29166666666667,89.0,98.53658536585365,6.554242424242425,7.9,93.96341463414633,105.26,106.0,95.42682926829268,1.3951219512195123,1.0,95.0,2.1,0.2,99.7560975609756,136.73039215686273,129.0,84.45121951219512,2.837439024390244,2.05,95.0,2.122772277227723,2.1,93.84146341463413,3.5048387096774194,3.3,96.21951219512195,4.098333333333334,4.0,90.48780487804878,2.5799999999999996,1.05,98.78048780487805,13.5,4.67,99.08536585365853,30.398412698412702,29.4,92.31707317073172,10.272380952380951,10.1,93.59756097560977,44.14883720930232,35.7,97.3780487804878,11.681111111111107,10.2,94.51219512195121,280.6,214.5,99.39024390243902,188.2125,163.5,95.1219512195122
-20,1663,1663,87.96625567813108,87.0,7.336139506915214,97.27969475779695,98.0,9.380637402285027,37.092559852670355,37.1,67.34816596512327,124.48827030812325,121.75,14.131088394467831,81.89379196840027,81.0,8.659049909801563,62.64571544058205,61.0,25.616355983162958,20.006524725274726,19.5,12.447384245339748,32.34049079754601,33.0,90.19843656043295,-0.35895522388059703,0.0,91.94227300060133,24.247191011235955,24.0,94.64822609741431,0.5399999999999999,0.5,84.48586891160554,7.3847826086956525,7.39,90.31870114251352,40.64609375,39.0,92.30306674684306,93.19590163934426,97.0,96.3319302465424,183.74285714285713,45.0,97.8953698135899,26.771653543307085,21.0,92.36319903788335,137.54285714285714,81.0,97.8953698135899,7.592905982905984,8.3,92.96452194828623,104.74747474747475,105.0,94.04690318701142,1.5904424778761062,1.02,93.20505111244738,0.2,0.2,99.93986770895971,139.2871287128713,131.0,81.77991581479255,2.8498529411764704,2.0,95.91100420926037,2.0381679389312977,2.0,92.12266987372219,3.506593406593407,3.3,94.52796151533374,4.056011235955056,3.9,89.29645219482862,3.21,1.0,98.19603126879134,36.73799999999999,15.274999999999999,99.39867708959711,29.791059602649007,29.1,90.92002405291642,10.063333333333333,9.9,92.78412507516536,47.82608695652174,36.0,95.85087191822008,11.233333333333334,9.850000000000001,93.50571256764883,328.53846153846155,275.0,99.21828021647624,189.58762886597938,163.0,94.167167769092
-19,1696,1696,88.04024081115335,87.0,6.9575471698113205,97.26430429128739,98.0,9.316037735849056,37.12556506849315,37.2,65.56603773584906,124.4994820441989,122.0,14.622641509433961,81.94866796621183,81.0,9.257075471698114,62.60262529832936,61.0,25.884433962264154,19.963900134952766,20.0,12.617924528301888,32.6625,33.0,90.56603773584906,-0.3732758620689655,0.0,93.16037735849056,23.510416666666668,23.0,94.33962264150944,0.5303461538461538,0.5,84.66981132075472,7.382679738562093,7.39,90.97877358490565,40.89663865546218,39.0,92.98349056603774,92.64098360655738,97.0,96.40330188679245,345.5810810810811,40.0,97.81839622641509,27.03435114503817,23.0,92.27594339622641,116.19444444444444,91.5,97.87735849056604,6.899495798319327,8.0,92.98349056603774,105.70833333333333,106.0,93.63207547169812,1.488411214953271,1.1,93.69103773584906,1.035,0.6000000000000001,99.76415094339622,142.59833333333333,131.0,82.31132075471697,2.528169014084507,1.7,95.81367924528303,2.110820895522388,2.1,92.09905660377359,3.3063953488372095,3.2,94.92924528301887,4.079836065573771,4.0,89.20990566037736,3.7571428571428567,0.6499999999999999,98.34905660377359,14.571250000000001,3.4400000000000004,99.52830188679245,30.309352517985612,29.4,91.80424528301887,10.106451612903227,9.9,92.68867924528303,43.34615384615385,34.95,96.93396226415094,12.269565217391305,11.1,93.21933962264151,430.3,307.0,99.41037735849056,179.34536082474227,169.0,94.28066037735849
-18,1723,1723,88.01545117428924,87.0,6.0940220545560075,97.22479391249207,98.0,8.473592571096924,37.12142424242424,37.17,61.69471851421938,124.02239304812834,122.0,13.174695298897271,81.50261363636363,79.5,8.067324434126522,62.787750385208014,62.0,24.666279744631456,19.891932270916335,19.5,12.594312246082415,32.780701754385966,33.0,90.07544979686594,-0.21621621621621623,0.0,91.4103308183401,23.653465346534652,24.0,94.13813116656993,0.5207565789473684,0.5,82.35635519442832,7.385028901734104,7.39,89.95937318630295,40.653237410071945,39.0,91.93267556587348,91.73050847457628,97.0,96.57573998839234,430.45714285714286,57.0,97.968659315148,26.17910447761194,21.0,92.22286709228091,111.94117647058823,78.5,98.02669762042949,7.210924369747898,8.1,93.0934416715032,105.41818181818182,105.5,93.61578641903657,1.480841121495327,1.0,93.78990133488102,2.1283333333333334,1.535,99.65177016831109,140.2006920415225,130.0,83.22692977365061,2.298271604938272,1.7,95.29889727219965,2.0345323741007193,2.0,91.93267556587348,3.4955555555555557,3.25,94.77655252466629,4.035797872340425,4.0,89.08879860708068,2.4185185185185185,0.9,98.43296575739988,5.61,0.13,99.36157864190366,30.123743016759775,29.2,89.61114335461404,10.189869281045754,10.0,91.12013929193267,47.67258064516129,35.1,96.40162507254789,13.657142857142857,11.45,91.874637260592,288.2,243.0,99.12942542077772,188.79310344827587,164.0,93.26755658734764
-17,1757,1757,87.84984709480122,87.0,6.9436539556061465,97.28028876333961,98.0,9.3340922026181,37.112803278688524,37.1,65.28173022196927,124.0087343441002,122.0,13.659647125782584,81.57325436408978,80.0,8.708025042686398,62.909541984732826,61.0,25.441092771770062,19.974853037230567,19.5,12.8628343767786,33.1656976744186,33.0,90.21058622652248,0.037162162162162164,0.0,91.57655093910074,24.5,25.0,93.739328400683,0.5158781362007169,0.5,84.12066021627774,7.399052631578948,7.41,89.1861126920888,39.66418918918919,38.5,91.57655093910074,95.5,97.35,95.78827546955037,547.5,60.0,98.06488332384747,28.5472972972973,21.5,91.57655093910074,127.52777777777777,87.5,97.95105293113261,7.306338028169014,8.1,91.9180421172453,105.50420168067227,107.0,93.22709163346613,1.4256060606060608,1.02,92.48719408081958,6.5,6.5,99.94308480364256,135.34908536585365,127.5,81.3318155947638,2.4181443298969074,1.7,94.47922595332953,2.117730496453901,2.1,91.97495731360273,3.579646017699115,3.3,93.5685828116107,4.070108695652174,4.0,89.52760387023335,5.265625000000001,1.85,98.17871371656233,14.319999999999999,1.25,99.43084803642573,29.941470588235294,29.35,90.32441661923734,10.265068493150684,10.0,91.6903813318156,41.21111111111111,33.15,95.90210586226523,13.012781954887217,11.3,92.43027888446214,350.75,292.5,99.31701764371087,192.73553719008265,170.0,93.11326124075127
-16,1786,1786,88.0956678700361,87.0,6.9428891377379625,97.28234212139792,98.0,8.678611422172452,37.12686541737649,37.1,67.13325867861141,123.69248217757615,122.0,13.60582306830907,81.06541919805589,79.0,7.838745800671893,62.34449659348978,61.0,26.035834266517355,19.904472843450478,19.0,12.374020156774916,32.985207100591715,34.0,90.53751399776036,0.2711267605633803,0.0,92.04927211646137,24.72463768115942,24.0,92.27323628219484,0.5237454545454545,0.5,84.60246360582306,7.394829545454544,7.4,90.14557670772676,40.82857142857143,41.0,92.5531914893617,92.26338028169013,96.6,96.02463605823068,129.25641025641025,47.0,97.81634938409854,26.86416184971098,21.0,90.31354983202688,102.46153846153847,80.0,97.81634938409854,7.324055944055943,8.1,91.993281075028,105.4375,106.0,91.93729003359462,1.5110294117647058,0.99,92.38521836506159,2.8000000000000003,1.1,99.83202687569988,135.13033536585365,127.0,81.63493840985441,2.5458227848101265,1.6,95.57670772676371,2.0895953757225434,2.0,90.31354983202688,3.5689655172413794,3.45,93.505039193729,4.079262672811059,4.1,87.84994400895857,4.557142857142856,1.3,98.43225083986562,5.748749999999999,0.19,99.10414333706606,29.196022727272727,28.7,90.14557670772676,9.881012658227847,9.7,91.15341545352743,42.719718309859154,34.5,96.02463605823068,12.123489932885906,11.2,91.65733482642777,283.7692307692308,240.0,99.27211646136618,195.36,198.0,93.00111982082868
-15,1825,1825,88.31818181818181,87.0,7.178082191780821,97.27764350453172,98.0,9.315068493150685,37.1292234548336,37.11,65.42465753424658,124.39079538165491,122.0,14.575342465753424,81.47762620192309,80.0,8.821917808219178,62.56179564237416,61.0,27.06849315068493,19.916876178504086,19.0,12.821917808219178,32.921052631578945,33.0,90.63013698630137,0.5778481012658228,0.0,91.34246575342466,24.19214285714286,24.0,92.32876712328768,0.5267123287671234,0.5,84.0,7.39185,7.4,89.04109589041096,41.57388535031848,40.0,91.3972602739726,94.55111111111111,97.0,95.06849315068493,137.67391304347825,63.5,97.47945205479452,30.07909604519774,22.0,90.3013698630137,97.51162790697674,79.0,97.64383561643835,7.2453594771241825,8.1,91.61643835616438,105.79470198675497,106.0,91.72602739726028,1.6212056737588652,0.99,92.27397260273973,1.0666666666666667,0.6000000000000001,99.67123287671232,138.614161849711,129.0,81.04109589041096,2.358780487804878,1.6,95.5068493150685,2.092696629213483,2.0,90.24657534246575,3.5622807017543856,3.1,93.75342465753424,4.101350210970464,4.1,87.01369863013699,3.2365853658536587,1.1,97.75342465753425,64.905,15.145,99.78082191780821,30.206451612903223,29.700000000000003,89.8082191780822,10.207692307692305,10.1,90.73972602739727,39.56666666666666,31.2,95.23287671232876,12.217307692307692,10.6,91.45205479452055,232.72727272727272,217.0,99.39726027397259,213.0077519379845,191.0,92.93150684931507
