Variable,Early_24_to_13h_Mean,Late_12_to_1h_Mean,Mean_Change,Early_MissingPct,Late_MissingPct
HR,88.1295102422793,89.00895953757225,0.8794492952929573,6.676370693837942,7.992706275642
O2Sat,97.26051917655194,97.13626763538059,-0.12425154117134696,8.78699660359049,10.066859139948336
Temp,37.114323354945505,37.133902055486914,0.019578700541408978,64.82775351770985,66.17915210454338
SBP,124.20951849974658,123.31503892714099,-0.8944795726055901,13.842794759825328,15.586537000455857
MAP,81.54032130002118,81.18699546675622,-0.3533258332649609,8.335759340126152,9.497036924479563
DBP,62.51227165817327,62.62853854820538,0.116266890032108,25.735080058224163,29.19389150585017
Resp,19.95757071547421,20.26515619484645,0.3075854793722428,12.518195050946144,13.90366205743808
EtCO2,32.88572136836886,33.08620689655172,0.2004855281828597,90.21348859776808,90.85625284911107
BaseExcess,-0.13634100808960797,-0.19826107670319199,-0.06192006861358401,92.20281416787967,92.02628779820697
HCO3,24.01389802631579,24.196361746361745,0.18246372004595557,94.09995147986415,94.5183102871904
FiO2,0.5238181818181818,0.5287405233553436,0.004922341537161756,83.98835516739447,84.46664640632123
pH,7.389265143992056,7.384745173745174,-0.004519970246881222,90.22804463852498,90.16106974623918
PaCO2,40.64655388471178,41.15736064792758,0.510806763215804,92.25618631732169,92.02628779820697
SaO2,93.62230130486358,93.1075,-0.5148013048635818,95.90975254730714,95.74532745783316
AST,286.8724137931035,324.64811490125675,37.77570110815327,97.88937409024744,97.88406017322595
BUN,29.284734645199762,28.91569914184755,-0.3690355033522117,91.863173216885,92.4745479410424
Alkalinephos,110.78422273781902,109.26756756756757,-1.516655170251454,97.90878214459,97.89165780276554
Calcium,7.197980263157895,7.221984036488028,0.024003773330132816,92.62493934983019,93.33687889378514
Chloride,105.57509433962264,105.92428115015974,0.34918681053710543,93.57108199902959,94.0548548852758
Creatinine,1.5902083333333332,1.6101383042693929,0.019929970936059638,93.24599708879184,93.6825710378362
Bilirubin_direct,1.945434782608696,2.5821428571428577,0.6367080745341618,99.77680737506066,99.78726637289166
Glucose,137.9112417943107,137.4855902777778,-0.4256515165329233,82.26103833090733,83.58912019449932
Lactate,2.5305396825396826,2.544428223844282,0.013888541304599489,95.41484716157204,95.31606138884669
Magnesium,2.0924612634088198,2.087003610108303,-0.005457653300516618,91.85832120329937,92.63409816137366
Phosphate,3.579378283712785,3.6380694980694983,0.05869121435671332,94.45900048520136,95.08053487311957
Potassium,4.074735682819383,4.096751706791233,0.022016023971850096,88.98592916060166,89.42789849566935
Bilirubin_total,3.293902439024391,2.659090909090909,-0.634811529933482,98.20960698689957,98.20316061388846
TroponinI,15.699763779527558,9.283081395348836,-6.416682384178722,99.38379427462397,99.3466038595958
Hct,30.03148051948052,30.07537474120083,0.04389422172030777,90.65987384764678,90.82586233095275
Hgb,10.145666666666665,10.145384615384614,-0.00028205128205094354,91.99417758369724,92.24661905485489
PTT,43.650650195058525,44.72053481331988,1.069884618261355,96.26880155264435,96.2353745631363
WBC,12.67598137059215,12.783390581717452,0.10740921112530266,92.70742358078603,93.14313934052576
Fibrinogen,302.22058823529414,313.69214876033055,11.47156052503641,99.34012615235322,99.08068682571037
Platelets,195.32035466461065,195.8218101822753,0.5014555176646525,93.70693837942746,93.9560857012612
